 model, mpg,  odometer, miles, gallons, price, fuelup_date
Ford Focus,31.17,61726,271,8.69,3.82,2/17/2014
Nissan Frontier,21.7,166870,271,12.49,3.82,2/19/2014
Ford Focus,35.11,62084,358,10.2,3.64,2/21/2014
Ford Focus,31.08,62339,255,8.2,3.9,2/24/2014
Ford Focus,38.24,62705,366,9.57,3.979,2/28/2014
Ford Focus,30.54,62990,285,9.33,3.96,3/4/2014
Ford Focus,35.65,63319,329,9.23,4,3/7/2014
Nissan Frontier,22.46,167162,292,13,3.99,3/10/2014
Ford Focus,34.29,63653,334,9.74,4,3/11/2014
Ford Focus,34.99,63922,269,7.69,4.02,3/14/2014
Ford Focus,33.65,64279,357,10.61,4.079,3/18/2014
Ford Focus,31.96,64625,346,10.83,4.079,3/23/2014
Nissan Frontier,21.89,167388,226,10.33,4.08,3/26/2014
Ford Focus,34.05,64972,347,10.19,4.08,3/28/2014
Ford Focus,33.3,65320,348,10.45,4.08,3/31/2014
Ford Focus,38.06,65647,327,8.59,4.04,4/4/2014
Nissan Frontier,22.87,167617,229,10.01,4.08,4/4/2014
Ford Focus,32.45,65959,312,9.62,3.95,4/7/2014
Nissan Frontier,25.02,167817,200,7.99,4.16,4/7/2014
Nissan Frontier,23.95,168015,198,8.27,4.1,4/9/2014
Ford Focus,33.37,66328,369,11.06,4.339,4/14/2014
Nissan Frontier,23.35,168254,239,10.24,4.34,4/14/2014
Ford Focus,35.84,66654,326,9.1,4.34,4/17/2014
Ford Focus,33.52,66935,281,8.38,4.339,4/20/2014
Ford Focus,35.01,67322,387,11.06,4.239,4/24/2014
Ford Focus,33.36,67611,289,8.66,4.25,4/27/2014
Ford Focus,35.08,67952,341,9.72,4.359,4/30/2014
Ford Focus,33.75,68277,325,9.63,4.374,5/4/2014
Nissan Frontier,21.72,168991,245,11.28,4.3,5/6/2014
Ford Focus,31.76,68602,325,10.23,4.299,5/12/2014
Nissan Frontier,25.42,169286,295,11.61,4.24,5/12/2014
Ford Focus,32,68902,300,9.37,4.24,5/13/2014
Ford Focus,33.3,69200,298,8.95,4.24,5/16/2014
Ford Focus,31.86,69517,317,9.95,4.2,5/19/2014
Ford Focus,33.5,69836,319,9.52,4.2,5/22/2014
Ford Focus,34.52,70208,372,10.78,4.259,5/29/2014
Ford Focus,30.25,70517,309,10.22,4.16,6/2/2014
Ford Focus,34.14,70779,262,7.67,4.18,6/4/2014
Ford Focus,36.66,71143,364,9.93,4.139,6/7/2014
Ford Focus,31.88,71485,342,10.73,4.159,6/8/2014
Nissan Frontier,22.59,169923,250,11.07,4.12,6/10/2014
Ford Focus,30.69,71736,251,8.18,4.16,6/16/2014
Nissan Frontier,24.29,170142,219,9.02,4.16,6/17/2014
Ford Focus,31.72,72089,353,11.13,3.98,6/20/2014
Ford Focus,35.92,72441,352,9.8,4.16,6/24/2014
Nissan Frontier,23.44,170357,215,9.17,4.16,6/25/2014
Ford Focus,33.36,72769,328,9.83,4.12,6/27/2014
Ford Focus,30.85,73100,331,10.73,4.24,7/7/2014
Ford Focus,32.88,73425,325,9.89,4.16,7/10/2014
Nissan Frontier,22.6,170635,278,12.3,4.16,7/10/2014
Ford Focus,32.66,73757,332,10.17,4.1,7/14/2014
Nissan Frontier,23.13,170922,287,12.41,4.12,7/17/2014
Ford Focus,30.77,74055,298,9.69,4.12,7/18/2014
Ford Focus,32.07,74378,323,10.07,3.919,7/21/2014
Ford Focus,32.93,74719,341,10.36,3.99,8/1/2014
Nissan Frontier,23.08,171136,214,9.27,4.02,8/2/2014
Nissan Frontier,21.74,171254,118,5.43,4,8/2/2014
Ford Focus,32.3,75597,329,10.19,3.9,8/15/2014
Ford Focus,32.25,75852,255,7.91,3.9,8/19/2014
Ford Focus,33.47,76174,322,9.62,3.9,8/22/2014
Ford Focus,31.28,76428,254,8.12,3.86,8/26/2014
Nissan Frontier,18.18,172354,162,8.91,3.68,9/1/2014
Ford Focus,33.93,76767,339,9.99,3.86,9/3/2014
Ford Focus,33.72,77086,319,9.46,3.86,9/11/2014
Ford Focus,33.5,77410,324,9.67,3.86,9/11/2014
Nissan Frontier,20.75,172624,270,13.01,3.419,9/13/2014
Ford Focus,31.24,77634,224,7.17,3.86,9/15/2014
Ford Focus,33.14,77954,320,9.655,3.8,9/18/2014
Ford Focus,33.7,78272,318,9.436,3.8,9/23/2014
Ford Focus,34.61,78595,323,9.333,3.74,9/26/2014
Ford Focus,30.23,78814,219,7.245,3.7,9/30/2014
Ford Focus,33.23,79074,260,7.825,4,10/1/2014
Ford Focus,27.83,79375,301,10.816,3.46,10/4/2014
Ford Focus,35.99,79659,284,7.891,4,10/6/2014
Ford Focus,33.05,79950,291,8.804,3.7,10/7/2014
Nissan Frontier,19.32,172879,255,13.2,3.37,10/7/2014
Ford Focus,34.94,80267,317,9.073,3.68,10/10/2014
Ford Focus,35.18,80596,329,9.352,3.68,10/15/2014
Ford Focus,34.72,80935,339,9.763,3.56,10/20/2014
Nissan Frontier,20.41,173149,270,13.23,3.06,10/22/2014
Ford Focus,35.73,81254,319,8.927,3.44,10/23/2014
Nissan Frontier,22.26,173391,242,10.872,3.299,10/24/2014
Ford Focus,32.2,81573,319,9.906,3.5,10/27/2014
Nissan Frontier,22.63,173911,259,11.446,2.999,10/27/2014
Nissan Frontier,21.4,173652,261,12.197,3.499,10/27/2014
Ford Focus,35.23,81893,320,9.083,3.56,10/30/2014
Nissan Frontier,22.13,174128,217,9.804,3.259,10/31/2014
Ford Focus,33.2,82228,335,10.092,3.3,11/5/2014
Ford Focus,33.98,82552,324,9.536,3.26,11/10/2014
Ford Focus,35.41,82870,318,8.98,3.26,11/13/2014
Nissan Frontier,17.64,174349,221,12.53,3.21,11/14/2014
Ford Focus,34.9,83222,352,10.087,3.18,11/19/2014
Nissan Frontier,24.1,174621,272,11.287,3.17,11/21/2014
Nissan Frontier,22.01,174853,232,10.539,3.099,11/23/2014
Ford Focus,32.33,83566,344,10.641,3.14,12/1/2014
Nissan Frontier,26.69,175192,339,12.703,2.98,12/2/2014
Ford Focus,36.71,83893,327,8.907,2.98,12/7/2014
Ford Focus,33.19,84188,295,8.888,2.92,12/11/2014
Ford Focus,32.53,84409,221,6.794,2.92,12/14/2014
Nissan Frontier,13.69,175367,175,12.785,2.599,12/14/2014
Ford Focus,32.91,84678,269,8.175,2.92,12/16/2014
Nissan Frontier,20.86,175858,245,11.743,2.659,12/17/2014
Nissan Frontier,22.11,175613,246,11.127,2.83,12/17/2014
Ford Focus,32.65,85025,347,10.629,2.739,12/19/2014
Nissan Frontier,23.63,175977,119,5.036,2.739,12/19/2014
Ford Focus,33.64,85278,253,7.521,2.659,12/20/2014
Nissan Frontier,24.07,176212,235,9.763,2.66,12/20/2014
Ford Focus,31.33,85617,339,10.821,2.56,12/24/2014
Ford Focus,27.62,85891,274,9.921,2.23,1/8/2015
Ford Focus,28.74,86195,304,10.579,2.239,1/17/2015
Ford Focus,26.94,86419,224,8.315,2.49,1/30/2015
Ford Focus,28.72,86699,280,9.751,2.75,2/14/2015
